wid,model,regime_changed,auc_post,mcc_post,bal_post,acc_post,ece_post,dsi_post,acc_pre,DR
5,majority,1,0.5,0.0,0.5,0.8333333333333334,0.16666666666666666,1.0,0.2564102564102564,0.0
6,tcn,1,0.6541551869861585,0.17999930616452006,0.5910864625753268,0.6081730769230769,0.12775694896490908,0.5538594457352521,0.7326388888888888,0.16988698505286184
6,anfis,1,0.7036585365853658,-0.042354747116551246,0.49701783152285306,0.36574074074074076,0.22948116809129718,0.8437756824537647,0.20512820512820512,-0.7829861111111113
6,har,1,0.5996720639475303,0.0,0.5,0.6327160493827161,0.034014494628560876,0.9975374538910644,0.8012820512820513,0.21037037037037037
6,garch,1,0.596505431440869,0.0,0.5,0.6327160493827161,0.0631886362801775,0.914616971597385,0.8012820512820513,0.21037037037037037
6,majority,1,0.5,0.0,0.5,0.6327160493827161,0.36728395061728397,1.0,0.8012820512820513,0.0
7,tcn,0,0.6871381354000456,0.2559742521303776,0.6268805561887394,0.6674679487179487,0.09554654660706337,0.5404829063866137,0.6128472222222222,-0.08912617127914574
7,anfis,0,0.6917431772237197,0.013176010486404483,0.5014319407008087,0.35030864197530864,0.24807504780682518,0.8382065574083478,0.34615384615384615,-0.012002743484224995
7,har,0,0.5636476583557952,0.0,0.5,0.654320987654321,0.012908790186137997,0.9971492791263118,0.6538461538461539,-0.0007262164124909386
7,garch,0,0.6045211421832883,0.08491520438711159,0.5181519541778976,0.6574074074074074,0.05539771105022545,0.8257400024310886,0.6538461538461539,-0.005446623093681955
7,majority,0,0.5,0.0,0.5,0.654320987654321,0.345679012345679,1.0,0.6538461538461539,0.0
8,tcn,1,0.6790035774410774,0.2459578159484358,0.6229166666666667,0.6129807692307692,0.10397839011290134,0.8342365283818332,0.6302083333333333,0.027336300063572783
8,anfis,1,0.6905396825396827,-0.008868944915904136,0.49950183150183153,0.4212962962962963,0.19019635982903438,0.863392619282734,0.2948717948717949,-0.4287439613526569
8,har,1,0.6549059829059829,0.0,0.5,0.5787037037037037,0.08860013740629136,0.9992843331530988,0.7019230769230769,0.17554540842212066
8,garch,1,0.6281709401709401,-0.08413981653514316,0.4804835164835165,0.5509259259259259,0.13735592728170365,0.8032556067069057,0.7019230769230769,0.2151192288178589
8,majority,1,0.5,0.0,0.5,0.5787037037037037,0.4212962962962963,1.0,0.7019230769230769,0.0
9,tcn,1,0.7232108410493827,0.3365350757191455,0.6656539351851851,0.7203525641025641,0.0839759380204412,0.572317571275178,0.6041666666666667,-0.19230769230769215
9,anfis,1,0.697802623567831,-0.05451263822682467,0.4948580284496596,0.3117283950617284,0.2624977169857349,0.8914516591677097,0.5064102564102564,0.38443506797937177
9,har,1,0.6585265954502684,0.0,0.5,0.6867283950617284,0.019348777441250853,0.9998457854857449,0.49038461538461536,-0.40038731541999534
9,garch,1,0.6969170310510876,0.07648781075233389,0.5131787236397852,0.6882716049382716,0.03391850571719915,0.8986373396963939,0.49038461538461536,-0.4035342532074558
9,majority,1,0.5,0.0,0.5,0.6867283950617284,0.3132716049382716,1.0,0.49038461538461536,0.0
10,tcn,1,0.7551817345295606,0.36433484725507487,0.6907177363699103,0.6939102564102564,0.15639389530779457,0.6031011533531099,0.5711805555555556,-0.2148702361468318
10,anfis,1,0.7694687433326222,0.17657009672121363,0.5583635587796032,0.4243827160493827,0.23493821762594178,0.8463948486147311,0.46153846153846156,0.0805041152263375
10,har,1,0.6547791764454874,0.0,0.5,0.6635802469135802,0.0037270355209993444,0.9999145575150069,0.5352564102564102,-0.2397427367487247
10,garch,1,0.6336035843823341,-0.10187762981036283,0.4848837209302326,0.6435185185185185,0.01907824470597727,0.9206741957527216,0.5352564102564102,-0.20226214238190285
10,majority,1,0.5,0.0,0.5,0.6635802469135802,0.33641975308641975,1.0,0.5352564102564102,0.0
11,tcn,1,0.717526763482855,0.3162217334140641,0.6644484889849467,0.7099358974358974,0.19978344029723066,0.822203958927624,0.6753472222222223,-0.05121613604904066
11,anfis,1,0.7367621527777777,0.046560667717272325,0.5100054824561404,0.32098765432098764,0.289059997294788,0.8636733602351895,0.32371794871794873,0.008434176751008536
11,har,1,0.7241410818713451,0.0,0.5,0.7037037037037037,0.03630183794416025,0.9997561093137415,0.7884615384615384,0.10749774164408306
11,garch,1,0.7428956505847953,0.0,0.5,0.7037037037037037,0.045168264549301125,0.9569492996119591,0.7884615384615384,0.10749774164408306
11,majority,1,0.5,0.0,0.5,0.7037037037037037,0.2962962962962963,1.0,0.7884615384615384,0.0
12,tcn,1,0.6524043249395362,0.23944439918411545,0.6101152368758003,0.6891025641025641,0.1120786315952547,0.6534583044285127,0.7569444444444444,0.08962597035991529
12,anfis,1,0.6728282828282828,-0.12513258563978136,0.485959595959596,0.2978395061728395,0.31365902304295784,0.8509935856885952,0.375,0.20576131687242802
12,har,1,0.4900112233445567,0.0,0.5,0.6944444444444444,0.027006845325620144,0.9996991832509511,0.6217948717948718,-0.11683848797250854
12,garch,1,0.558709315375982,0.0,0.5,0.6944444444444444,0.02437528382219145,0.9491150789034872,0.6217948717948718,-0.11683848797250854
12,majority,1,0.5,0.0,0.5,0.6944444444444444,0.3055555555555556,1.0,0.6217948717948718,0.0
13,tcn,1,0.7016989014057282,0.2724760648803787,0.6268672343989948,0.6642628205128205,0.061500177038117096,0.5869501879529483,0.6371527777777778,-0.04254873192202886
13,anfis,1,0.6607123144700794,0.0028334325544015354,0.5003211336016137,0.3904320987654321,0.20388428586316698,0.8456330128239605,0.2948717948717949,-0.32407407407407407
13,har,1,0.5586721125573274,0.0,0.5,0.6126543209876543,0.054777425869026064,0.9994813313947081,0.6923076923076923,0.11505486968449938
13,garch,1,0.5623250072756831,-0.10922037732346254,0.48488664987405544,0.5941358024691358,0.08989501738725486,0.9223933236476786,0.6923076923076923,0.14180384087791498
